,tracks,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,url,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_url,genres,popularity,track_url,created_year,rank
0,Deep down,Aimer,0.188,0.692,5.0,-5.773,0.0,0.0514,0.238,0.0,0.224,0.178,158.213,audio_features,https://open.spotify.com/track/42IF4VUNaIGc1oD74rHa8O,42IF4VUNaIGc1oD74rHa8O,spotify:track:42IF4VUNaIGc1oD74rHa8O,https://api.spotify.com/v1/tracks/42IF4VUNaIGc1oD74rHa8O,https://api.spotify.com/v1/audio-analysis/42IF4VUNaIGc1oD74rHa8O,227147.0,4.0,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",68,https://open.spotify.com/embed/track/42IF4VUNaIGc1oD74rHa8O,10000,1
1,青と夏,Mrs. GREEN APPLE,0.31,0.887,4.0,-1.654,1.0,0.0463,0.00184,0.0,0.291,0.745,184.91,audio_features,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,0a3587n25Xhw098UeEbeJq,spotify:track:0a3587n25Xhw098UeEbeJq,https://api.spotify.com/v1/tracks/0a3587n25Xhw098UeEbeJq,https://api.spotify.com/v1/audio-analysis/0a3587n25Xhw098UeEbeJq,270507.0,4.0,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,"['anime rock', 'j-pop', 'j-rock']",69,https://open.spotify.com/embed/track/0a3587n25Xhw098UeEbeJq,2021,31
2,Nemurihime,SEKAI NO OWARI,0.342,0.817,10.0,-5.213,1.0,0.0488,0.186,0.0,0.104,0.398,97.465,audio_features,https://open.spotify.com/track/0eOnoSM8TF0CoJc6fF8rVP,0eOnoSM8TF0CoJc6fF8rVP,spotify:track:0eOnoSM8TF0CoJc6fF8rVP,https://api.spotify.com/v1/tracks/0eOnoSM8TF0CoJc6fF8rVP,https://api.spotify.com/v1/audio-analysis/0eOnoSM8TF0CoJc6fF8rVP,331240.0,4.0,https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK,"['anime', 'j-pop']",64,https://open.spotify.com/embed/track/0eOnoSM8TF0CoJc6fF8rVP,2022,57
3,フルドライブ,KANA-BOON,0.357,0.904,0.0,-3.254,1.0,0.148,0.000162,1.01e-06,0.0654,0.362,177.955,audio_features,https://open.spotify.com/track/4aHDLNkwt3Eyb4UyQVz0LQ,4aHDLNkwt3Eyb4UyQVz0LQ,spotify:track:4aHDLNkwt3Eyb4UyQVz0LQ,https://api.spotify.com/v1/tracks/4aHDLNkwt3Eyb4UyQVz0LQ,https://api.spotify.com/v1/audio-analysis/4aHDLNkwt3Eyb4UyQVz0LQ,196320.0,4.0,https://open.spotify.com/artist/3PWp9R5HvbQgxI5KBx5kVd,"['anime', 'j-pop', 'j-poprock', 'j-rock']",60,https://open.spotify.com/embed/track/4aHDLNkwt3Eyb4UyQVz0LQ,2010,83
4,Laughter,Official HIGE DANdism,0.396,0.801,4.0,-4.673,1.0,0.035,0.023,0.0,0.138,0.366,159.769,audio_features,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo,1SdwlHsv8bWHbAlIw5Jfgo,spotify:track:1SdwlHsv8bWHbAlIw5Jfgo,https://api.spotify.com/v1/tracks/1SdwlHsv8bWHbAlIw5Jfgo,https://api.spotify.com/v1/audio-analysis/1SdwlHsv8bWHbAlIw5Jfgo,350300.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/1SdwlHsv8bWHbAlIw5Jfgo,2021,38
5,あなた,Hikaru Utada,0.38,0.699,8.0,-6.436,1.0,0.063,0.466,0.0,0.117,0.799,178.007,audio_features,https://open.spotify.com/track/3cLjbLRIwHYQTUZ6ormpCd,3cLjbLRIwHYQTUZ6ormpCd,spotify:track:3cLjbLRIwHYQTUZ6ormpCd,https://api.spotify.com/v1/tracks/3cLjbLRIwHYQTUZ6ormpCd,https://api.spotify.com/v1/audio-analysis/3cLjbLRIwHYQTUZ6ormpCd,277133.0,4.0,https://open.spotify.com/artist/7lbSsjYACZHn1MSDXPxNF2,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']",64,https://open.spotify.com/embed/track/3cLjbLRIwHYQTUZ6ormpCd,2020,69
6,first death,TK from Ling tosite sigure,0.32,0.969,8.0,-3.397,1.0,0.129,1.76e-05,0.00609,0.304,0.168,164.182,audio_features,https://open.spotify.com/track/0ky07Oq85l9zx7e427XGgC,0ky07Oq85l9zx7e427XGgC,spotify:track:0ky07Oq85l9zx7e427XGgC,https://api.spotify.com/v1/tracks/0ky07Oq85l9zx7e427XGgC,https://api.spotify.com/v1/audio-analysis/0ky07Oq85l9zx7e427XGgC,241575.0,4.0,https://open.spotify.com/artist/3B9O5mYYw89fFXkwKh7jCS,"['anime', 'j-poprock', 'j-rock', 'otacore']",60,https://open.spotify.com/embed/track/0ky07Oq85l9zx7e427XGgC,10000,5
7,Wherever you are,ONE OK ROCK,0.379,0.69,4.0,-4.79,1.0,0.0549,0.0286,0.0,0.335,0.288,173.716,audio_features,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,7a7EIFzJLd7lcDRgThMQgm,spotify:track:7a7EIFzJLd7lcDRgThMQgm,https://api.spotify.com/v1/tracks/7a7EIFzJLd7lcDRgThMQgm,https://api.spotify.com/v1/audio-analysis/7a7EIFzJLd7lcDRgThMQgm,295600.0,4.0,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",70,https://open.spotify.com/embed/track/7a7EIFzJLd7lcDRgThMQgm,2021,69
8,Wherever you are,ONE OK ROCK,0.379,0.69,4.0,-4.79,1.0,0.0549,0.0286,0.0,0.335,0.288,173.716,audio_features,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,7a7EIFzJLd7lcDRgThMQgm,spotify:track:7a7EIFzJLd7lcDRgThMQgm,https://api.spotify.com/v1/tracks/7a7EIFzJLd7lcDRgThMQgm,https://api.spotify.com/v1/audio-analysis/7a7EIFzJLd7lcDRgThMQgm,295600.0,4.0,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",70,https://open.spotify.com/embed/track/7a7EIFzJLd7lcDRgThMQgm,2021,69
9,PRIDE,Novelbright,0.327,0.968,1.0,-1.128,1.0,0.109,0.00392,0.0,0.283,0.438,186.89,audio_features,https://open.spotify.com/track/4w1J2ejTHgtxRR6IvFoB8n,4w1J2ejTHgtxRR6IvFoB8n,spotify:track:4w1J2ejTHgtxRR6IvFoB8n,https://api.spotify.com/v1/tracks/4w1J2ejTHgtxRR6IvFoB8n,https://api.spotify.com/v1/audio-analysis/4w1J2ejTHgtxRR6IvFoB8n,217200.0,4.0,https://open.spotify.com/artist/0jWCX6zp4RjWrmZRxJ2uri,"['j-pop', 'j-rock']",62,https://open.spotify.com/embed/track/4w1J2ejTHgtxRR6IvFoB8n,10000,35
